FREQ;DUUR;TIJDSEENHEID;Q;BRON;PERIODE;REF_JAAR;SCENARIO;;
0,1;4;uur;53;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,1;8;uur;61;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,1;12;uur;65;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,1;24;uur;78;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,1;2;dag;88;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,1;4;dag;103;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,1;8;dag;129;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,05;10;min;25;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,05;30;min;37;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,05;60;min;46;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,05;2;uur;55;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,05;4;uur;63;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,05;8;uur;72;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
0,05;12;uur;76;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
